Trace Name,Global Instructions,Global Cycles,CPI,LLC Misses,LLC Miss Rate
400.perlbench,13796184,8868510,0.642823,21045,40.7952
401.bzip2,105737858,58646674,0.554642,916877,61.7369
403.gcc,111023833,68264585,0.614864,179434,42.7521
410.bwaves,100767249,25502947,0.253088,2961,99.6634
416.gamess,109857040,32981255,0.30022,44685,26.3204
429.mcf,111834055,285577138,2.55358,3167608,75.676
433.milc,104433837,120034919,1.14939,1186270,77.0164
434.zeusmp,103951560,46947972,0.451633,224803,80.81
435.gromacs,111463802,67744279,0.607769,295220,71.1979
436.cactusADM,113865457,50384282,0.44249,382949,76.1164
437.leslie3d,108598282,163577388,1.50626,1695183,84.0284
444.namd,104034990,28484238,0.273795,11469,66.2603
445.gobmk,110811576,42537912,0.383876,47437,14.919
447.dealII,110728687,51368857,0.463916,122304,45.0892
450.soplex,60497953,21592241,0.356909,29456,15.2011
453.povray,113586629,40940174,0.360431,8828,39.9258
454.calculix,112031276,36000790,0.321346,51030,34.05
456.hmmer,110174490,28481515,0.258513,5437,71.4736
458.sjeng,110877774,35814165,0.323006,38439,93.5415
459.GemsFDTD,115939356,42682305,0.368143,993,84.1525
462.libquantum,116885396,31880395,0.272749,628,100
464.h264ref,112187921,32295510,0.28787,66574,70.0086
465.tonto,100054260,34804517,0.347856,16561,78.8694
470.lbm,103428771,119334774,1.15379,4607703,99.9725
471.omnetpp,117157993,48360531,0.41278,10889,59.4443
473.astar,108177102,28953274,0.267647,7286,5.84718
482.sphinx3,113061004,50384926,0.445644,11000,97.156
483.xalancbmk,116559218,48371258,0.414993,191813,66.2759
999.specrand,68635436,23076019,0.336211,2999,95.9373
