Trace Name,Global Instructions,Global Cycles,CPI,LLC Misses,LLC Miss Rate
400.perlbench,13796184,9184551,0.665731,22908,44.4057
401.bzip2,105737858,59319325,0.561004,916007,61.6783
403.gcc,111023833,70275357,0.632975,191553,45.6397
410.bwaves,100767249,25502947,0.253088,2961,99.6634
416.gamess,109857040,33286379,0.302997,46950,27.6546
429.mcf,111834055,286004064,2.5574,3206909,76.6152
433.milc,104433837,119909929,1.14819,1174849,76.2749
434.zeusmp,103951560,47245091,0.454491,229894,82.6395
435.gromacs,111463802,69491885,0.623448,308381,74.3719
436.cactusADM,113865457,49647122,0.436016,371205,73.7824
437.leslie3d,108598282,165711077,1.52591,1633352,80.9639
444.namd,104034990,28485258,0.273805,11478,66.3123
445.gobmk,110811576,45053099,0.406574,65131,20.4838
447.dealII,110728687,49725673,0.449077,113343,41.7856
450.soplex,60497953,22176852,0.366572,34014,17.5536
453.povray,113586629,40950518,0.360522,8889,40.2017
454.calculix,112031276,37056685,0.330771,57428,38.3193
456.hmmer,110174490,28481515,0.258513,5437,71.4736
458.sjeng,110877774,35851034,0.323338,38670,94.1036
459.GemsFDTD,115939356,42682305,0.368143,993,84.1525
462.libquantum,116885396,31880395,0.272749,628,100
464.h264ref,112187921,32747316,0.291897,68251,71.7721
465.tonto,100054260,34828256,0.348094,16679,79.4314
470.lbm,103428771,119393186,1.15435,4606137,99.9385
471.omnetpp,117157993,48378496,0.412934,11001,60.0557
473.astar,108177102,28953274,0.267647,7286,5.84718
482.sphinx3,113061004,50387283,0.445665,11012,97.262
483.xalancbmk,116559218,49059623,0.420899,195477,67.5795
999.specrand,68635436,23078419,0.336246,3011,96.3212
